"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","57.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","50.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","50.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","62.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","65.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","58.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","120.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","89.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","99.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","94.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","93.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","108.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","21.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","22.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","16.000"
