INTERCLASSE;CODE_UN;CODICIONE;NOME_CORSO;COD_CLASSE;DES_CLASSE;ID_COMUNE;COMUNE;ID_REGIONE_MACRO_ISTAT;REGIONE_MACRO_ISTAT;ID_CLASSE;DURATA;ID_ANNO_ACCADEMICO;CODICE;DESCRIZIONE;NUMERATORE;DENOMINATORE;INDICATORE;NUMERATORE_ITA;DENOMINATORE_ITA;INDICATORE_ITA;NUMERATORE_ITA_T;DENOMINATORE_ITA_T;INDICATORE_ITA_T;NUMERATORE_CODE_UN;DENOMINATORE_CODE_UN;INDICATORE_CODE_UN;NUMERATORE_MACROREGIONE;DENOMINATORE_MACROREGIONE;INDICATORE_MACROREGIONE;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00a;Avvii di carriera al primo anno* (L  LMCU  LM);88;0;88;178,571428571428571428571428571428571429;0;178,571428571428571428571428571428571429;0;0;0;73;0;73;137,647058823529411764705882352941176471;0;137,647058823529411764705882352941176471;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00b;Immatricolati puri ** (L  LMCU);84;0;84;143,979591836734693877551020408163265306;0;143,979591836734693877551020408163265306;0;0;0;98;0;98;114,823529411764705882352941176470588235;0;114,823529411764705882352941176470588235;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00d;Iscritti (L  LMCU  LM);176;0;176;375,980392156862745098039215686274509804;0;375,980392156862745098039215686274509804;0;0;0;310;0;310;284,736842105263157894736842105263157895;0;284,736842105263157894736842105263157895;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00e;Iscritti Regolari ai fini del CSTD (L  LMCU  LM);127;0;127;323,326530612244897959183673469387755102;0;323,326530612244897959183673469387755102;0;0;0;202;0;202;243,176470588235294117647058823529411765;0;243,176470588235294117647058823529411765;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00f;Iscritti Regolari ai fini del CSTD, immatricolati puri ** al CdS in oggetto (L  LMCU  LM);119;0;119;280,693877551020408163265306122448979592;0;280,693877551020408163265306122448979592;0;0;0;135;0;135;209,117647058823529411764705882352941176;0;209,117647058823529411764705882352941176;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00g;laureati (L  LM  LMCU) entro la durata normale del corso*;4;0;4;44,02083333333333333333333333333333333333;0;44,02083333333333333333333333333333333333;0;0;0;18;0;18;18;0;18;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC00h;laureati (L  LM  LMCU) ;17;0;17;65,70833333333333333333333333333333333333;0;65,70833333333333333333333333333333333333;0;0;0;50;0;50;39,88235294117647058823529411764705882353;0;39,88235294117647058823529411764705882353;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC01;Percentuale di studenti iscritti entro la durata normale del CdS che abbiano acquisito almeno 40 CFU nell’a.s.;23;127;,1811023622047244094488188976377952755906;148,612244897959183673469387755102040816;323,326530612244897959183673469387755102;,4596351701066717162153632519093606008953;0;0;0;77;202;,3811881188118811881188118811881188118812;84,82352941176470588235294117647058823529;243,176470588235294117647058823529411765;,3488147073052733430091920657958393807446;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC02;Percentuale di laureati (L  LM  LMCU) entro la durata normale del corso*;4;17;,2352941176470588235294117647058823529412;44,02083333333333333333333333333333333333;65,70833333333333333333333333333333333333;,6699429296131896005072923272035510462904;0;0;0;18;50;,36;18;39,88235294117647058823529411764705882353;,4513274336283185840707964601769911504425;
0;02;0720106200200002;Biotecnologie Industriali per lo Sviluppo Sostenibile;L-2;Biotecnologie;072006;BARI;4;SUD E ISOLE;2002;3;2020;iC02bis;Percentuale di laureati (L  LM  LMCU) entro un anno oltre la durata normale del corso;14;17;,8235294117647058823529411764705882352941;57,02083333333333333333333333333333333333;65,70833333333333333333333333333333333333;,8677869372225745085605580215599239061509;0;0;0;34;50;,68;29,29411764705882352941176470588235294118;39,88235294117647058823529411764705882353;,7345132743362831858407079646017699115045;
