"Ateneo","Classe","Nome Corso","ID Indicatore","Descrizione indicatore","Anno accademico","Indicatore"
"Università di Bari","L-2 - Biotecnologie","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2020","88.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2021","89.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2022","87.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2023","64.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2024","99.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2025","127.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2020","73.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2021","83.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2022","88.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2023","50.000"
"Università di Bari","L-2 - Biotecnologie","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2024","61.000"
