"Ateneo","Classe","Lingua Corso","Nome Corso","Anno accademico","Interclasse","ID Indicatore","Descrizione indicatore","Indicatore"
"Università di Bologna","L-2 - Biotecnologie","Inglese","0370106200200002 - Genomica","2020","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","49.000"
"Università di Bologna","L-2 - Biotecnologie","Inglese","0370106200200002 - Genomica","2021","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","53.000"
"Università di Bologna","L-2 - Biotecnologie","Inglese","0370106200200002 - Genomica","2022","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","49.000"
"Università di Bologna","L-2 - Biotecnologie","Inglese","0370106200200002 - Genomica","2023","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","42.000"
"Università di Bologna","L-2 - Biotecnologie","Inglese","0370106200200002 - Genomica","2024","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","34.000"
"Università di Bologna","L-2 - Biotecnologie","Inglese","0370106200200002 - Genomica","2025","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","40.000"
"Università di Camerino","L-2 - Biotecnologie","Inglese","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","2020","1","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","102.000"
"Università di Camerino","L-2 - Biotecnologie","Inglese","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","2021","1","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","103.000"
"Università di Camerino","L-2 - Biotecnologie","Inglese","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","2022","1","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","92.000"
"Università di Camerino","L-2 - Biotecnologie","Inglese","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","2023","1","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","115.000"
"Università di Camerino","L-2 - Biotecnologie","Inglese","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","2024","1","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","86.000"
"Università di Camerino","L-2 - Biotecnologie","Inglese","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","2025","1","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","143.000"
"La Sapienza","L-2 - Biotecnologie","Inglese","0580106200200003 - Bioinformatica","2020","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","43.000"
"La Sapienza","L-2 - Biotecnologie","Inglese","0580106200200003 - Bioinformatica","2021","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","35.000"
"La Sapienza","L-2 - Biotecnologie","Inglese","0580106200200003 - Bioinformatica","2022","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","43.000"
"La Sapienza","L-2 - Biotecnologie","Inglese","0580106200200003 - Bioinformatica","2023","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","34.000"
"La Sapienza","L-2 - Biotecnologie","Inglese","0580106200200003 - Bioinformatica","2024","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","31.000"
"La Sapienza","L-2 - Biotecnologie","Inglese","0580106200200003 - Bioinformatica","2025","0","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","43.000"
