AnnoA;ClasseNUMERO;ClasseNOME;Sesso;Imm
2024/2025;L/DS;Scienze della difesa e della sicurezza;F;79
2024/2025;L/DS;Scienze della difesa e della sicurezza;M;226
2024/2025;L/GASTR;Scienze, culture e politiche della gastronomia;F;378
2024/2025;L/GASTR;Scienze, culture e politiche della gastronomia;M;507
2024/2025;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;10240
2024/2025;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;3055
2024/2025;L/SNT2;Professioni sanitarie della riabilitazione;F;2001
2024/2025;L/SNT2;Professioni sanitarie della riabilitazione;M;1106
2024/2025;L/SNT3;Professioni sanitarie tecniche;F;1836
2024/2025;L/SNT3;Professioni sanitarie tecniche;M;1137
2024/2025;L/SNT4;Professioni sanitarie della prevenzione;F;402
2024/2025;L/SNT4;Professioni sanitarie della prevenzione;M;330
2024/2025;L-1;Beni culturali;F;3331
2024/2025;L-1;Beni culturali;M;1121
2024/2025;L-10;Lettere;F;6250
2024/2025;L-10;Lettere;M;2547
2024/2025;L-11;Lingue e culture moderne;F;7125
2024/2025;L-11;Lingue e culture moderne;M;1793
2024/2025;L-12;Mediazione linguistica;F;5033
2024/2025;L-12;Mediazione linguistica;M;1078
2024/2025;L-13;Scienze biologiche;9;1
2024/2025;L-13;Scienze biologiche;F;6969
2024/2025;L-13;Scienze biologiche;M;3021
2024/2025;L-14;Scienze dei servizi giuridici;F;5300
2024/2025;L-14;Scienze dei servizi giuridici;M;5153
2024/2025;L-15;Scienze del turismo;F;1354
2024/2025;L-15;Scienze del turismo;M;564
2024/2025;L-16;Scienze dell'amministrazione e dell'organizzazione;F;1070
2024/2025;L-16;Scienze dell'amministrazione e dell'organizzazione;M;785
2024/2025;L-17;Scienze dell'architettura;F;1814
2024/2025;L-17;Scienze dell'architettura;M;1023
2024/2025;L-18;Scienze dell'economia e della gestione aziendale;F;16884
2024/2025;L-18;Scienze dell'economia e della gestione aziendale;M;21805
2024/2025;L-19;Scienze dell'educazione e della formazione;F;15713
2024/2025;L-19;Scienze dell'educazione e della formazione;M;1116
2024/2025;L-2;Biotecnologie;F;4912
2024/2025;L-2;Biotecnologie;M;2164
2024/2025;L-20;Scienze della comunicazione;F;9082
2024/2025;L-20;Scienze della comunicazione;M;3823
2024/2025;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;230
2024/2025;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;200
2024/2025;L-22;Scienze delle attività motorie e sportive;F;4427
2024/2025;L-22;Scienze delle attività motorie e sportive;M;12049
2024/2025;L-23;Scienze e tecniche dell'edilizia;F;504
2024/2025;L-23;Scienze e tecniche dell'edilizia;M;674
2024/2025;L-24;Scienze e tecniche psicologiche;F;12208
2024/2025;L-24;Scienze e tecniche psicologiche;M;2987
2024/2025;L-25;Scienze e tecnologie agrarie e forestali;F;574
2024/2025;L-25;Scienze e tecnologie agrarie e forestali;M;1638
2024/2025;L-26;Scienze e tecnologie alimentari;F;1316
2024/2025;L-26;Scienze e tecnologie alimentari;M;1245
2024/2025;L-27;Scienze e tecnologie chimiche;F;1779
2024/2025;L-27;Scienze e tecnologie chimiche;M;1585
2024/2025;L-28;Scienze e tecnologie della navigazione;F;43
2024/2025;L-28;Scienze e tecnologie della navigazione;M;169
2024/2025;L-29;Scienze e tecnologie farmaceutiche;F;931
2024/2025;L-29;Scienze e tecnologie farmaceutiche;M;310
2024/2025;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;2606
2024/2025;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;1280
2024/2025;L-30;Scienze e tecnologie fisiche;F;1591
2024/2025;L-30;Scienze e tecnologie fisiche;M;2506
2024/2025;L-31;Scienze e tecnologie informatiche;F;1519
2024/2025;L-31;Scienze e tecnologie informatiche;M;8620
2024/2025;L-32;Scienze e tecnologie per l'ambiente e la natura;F;1566
2024/2025;L-32;Scienze e tecnologie per l'ambiente e la natura;M;1306
2024/2025;L-33;Scienze economiche;F;4923
2024/2025;L-33;Scienze economiche;M;7611
2024/2025;L-34;Scienze geologiche;F;242
2024/2025;L-34;Scienze geologiche;M;443
2024/2025;L-35;Scienze matematiche;F;1306
2024/2025;L-35;Scienze matematiche;M;1634
2024/2025;L-36;Scienze politiche e delle relazioni internazionali;F;6236
2024/2025;L-36;Scienze politiche e delle relazioni internazionali;M;4858
2024/2025;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;275
2024/2025;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;156
2024/2025;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;1169
2024/2025;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;312
2024/2025;L-39;Scienze del Servizio sociale;F;25
2024/2025;L-39;Scienze del Servizio sociale;M;3
2024/2025;L-39;Servizio sociale;F;2917
2024/2025;L-39;Servizio sociale;M;242
2024/2025;L-4;Disegno industriale;F;2610
2024/2025;L-4;Disegno industriale;M;1193
2024/2025;L-40;Sociologia;F;2310
2024/2025;L-40;Sociologia;M;651
2024/2025;L-41;Statistica;F;452
2024/2025;L-41;Statistica;M;777
2024/2025;L-42;Storia;F;933
2024/2025;L-42;Storia;M;1725
2024/2025;L-43;Diagnostica per la conservazione dei beni culturali;F;87
2024/2025;L-43;Diagnostica per la conservazione dei beni culturali;M;19
2024/2025;L-5;Filosofia;F;2616
2024/2025;L-5;Filosofia;M;2057
2024/2025;L-6;Geografia;F;35
2024/2025;L-6;Geografia;M;60
2024/2025;L-7;Ingegneria civile e ambientale;F;1438
2024/2025;L-7;Ingegneria civile e ambientale;M;3577
2024/2025;L-8;Ingegneria dell'informazione;F;4943
2024/2025;L-8;Ingegneria dell'informazione;M;14313
2024/2025;L-9;Ingegneria industriale;F;6668
2024/2025;L-9;Ingegneria industriale;M;19751
2024/2025;LM-13;Farmacia e farmacia industriale;F;4851
2024/2025;LM-13;Farmacia e farmacia industriale;M;1530
2024/2025;LM-41;Medicina e chirurgia;F;7551
2024/2025;LM-41;Medicina e chirurgia;M;4296
2024/2025;LM-42;Medicina veterinaria;F;441
2024/2025;LM-42;Medicina veterinaria;M;121
2024/2025;LM-46;Odontoiatria e protesi dentaria;F;440
2024/2025;LM-46;Odontoiatria e protesi dentaria;M;310
2024/2025;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;1931
2024/2025;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;1024
2024/2025;LM-85 bis;Scienze della formazione primaria;F;4544
2024/2025;LM-85 bis;Scienze della formazione primaria;M;242
2024/2025;LMG/01;Magistrali in giurisprudenza;F;12419
2024/2025;LMG/01;Magistrali in giurisprudenza;M;5388
2024/2025;LMR/02;Conservazione e restauro dei beni culturali;F;66
2024/2025;LMR/02;Conservazione e restauro dei beni culturali;M;11
2024/2025;L-P01;Professioni tecniche per l'edilizia e il territorio;F;69
2024/2025;L-P01;Professioni tecniche per l'edilizia e il territorio;M;268
2024/2025;L-P02;Professioni tecniche agrarie, alimentari e forestali;F;17
