"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2013","Immatricolati puri ** (L; LMCU)","115.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2014","Immatricolati puri ** (L; LMCU)","116.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2015","Immatricolati puri ** (L; LMCU)","144.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2016","Immatricolati puri ** (L; LMCU)","146.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2017","Immatricolati puri ** (L; LMCU)","155.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2018","Immatricolati puri ** (L; LMCU)","147.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2019","Immatricolati puri ** (L; LMCU)","149.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2020","Immatricolati puri ** (L; LMCU)","160.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2021","Immatricolati puri ** (L; LMCU)","169.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2022","Immatricolati puri ** (L; LMCU)","165.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2023","Immatricolati puri ** (L; LMCU)","141.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2024","Immatricolati puri ** (L; LMCU)","161.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2013","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2014","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2015","Immatricolati puri ** (L; LMCU)","639.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2016","Immatricolati puri ** (L; LMCU)","812.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2017","Immatricolati puri ** (L; LMCU)","452.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2018","Immatricolati puri ** (L; LMCU)","455.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2019","Immatricolati puri ** (L; LMCU)","502.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2020","Immatricolati puri ** (L; LMCU)","393.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2021","Immatricolati puri ** (L; LMCU)","466.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2022","Immatricolati puri ** (L; LMCU)","435.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2023","Immatricolati puri ** (L; LMCU)","661.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2024","Immatricolati puri ** (L; LMCU)","631.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2013","Immatricolati puri ** (L; LMCU)","46.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2014","Immatricolati puri ** (L; LMCU)","41.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2015","Immatricolati puri ** (L; LMCU)","53.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2016","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2017","Immatricolati puri ** (L; LMCU)","59.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2018","Immatricolati puri ** (L; LMCU)","54.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2019","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2020","Immatricolati puri ** (L; LMCU)","492.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2021","Immatricolati puri ** (L; LMCU)","86.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2022","Immatricolati puri ** (L; LMCU)","90.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2023","Immatricolati puri ** (L; LMCU)","67.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2024","Immatricolati puri ** (L; LMCU)","93.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2015","Immatricolati puri ** (L; LMCU)","58.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2016","Immatricolati puri ** (L; LMCU)","78.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2017","Immatricolati puri ** (L; LMCU)","111.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2018","Immatricolati puri ** (L; LMCU)","113.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2019","Immatricolati puri ** (L; LMCU)","103.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2020","Immatricolati puri ** (L; LMCU)","105.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2021","Immatricolati puri ** (L; LMCU)","92.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2022","Immatricolati puri ** (L; LMCU)","128.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2023","Immatricolati puri ** (L; LMCU)","123.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2024","Immatricolati puri ** (L; LMCU)","119.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2013","Immatricolati puri ** (L; LMCU)","79.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2014","Immatricolati puri ** (L; LMCU)","87.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2015","Immatricolati puri ** (L; LMCU)","87.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2016","Immatricolati puri ** (L; LMCU)","88.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2017","Immatricolati puri ** (L; LMCU)","91.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2018","Immatricolati puri ** (L; LMCU)","93.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2019","Immatricolati puri ** (L; LMCU)","93.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2020","Immatricolati puri ** (L; LMCU)","98.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2021","Immatricolati puri ** (L; LMCU)","95.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2022","Immatricolati puri ** (L; LMCU)","91.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2023","Immatricolati puri ** (L; LMCU)","88.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2024","Immatricolati puri ** (L; LMCU)","102.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2014","Immatricolati puri ** (L; LMCU)","175.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2015","Immatricolati puri ** (L; LMCU)","191.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2016","Immatricolati puri ** (L; LMCU)","179.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2017","Immatricolati puri ** (L; LMCU)","162.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2018","Immatricolati puri ** (L; LMCU)","212.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2019","Immatricolati puri ** (L; LMCU)","187.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2020","Immatricolati puri ** (L; LMCU)","203.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2021","Immatricolati puri ** (L; LMCU)","203.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2022","Immatricolati puri ** (L; LMCU)","205.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2023","Immatricolati puri ** (L; LMCU)","209.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2024","Immatricolati puri ** (L; LMCU)","196.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2013","Immatricolati puri ** (L; LMCU)","26.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2014","Immatricolati puri ** (L; LMCU)","46.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2015","Immatricolati puri ** (L; LMCU)","41.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2016","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2017","Immatricolati puri ** (L; LMCU)","52.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2018","Immatricolati puri ** (L; LMCU)","35.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2019","Immatricolati puri ** (L; LMCU)","32.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2020","Immatricolati puri ** (L; LMCU)","37.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2021","Immatricolati puri ** (L; LMCU)","37.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2022","Immatricolati puri ** (L; LMCU)","35.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2023","Immatricolati puri ** (L; LMCU)","33.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2024","Immatricolati puri ** (L; LMCU)","30.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2013","Immatricolati puri ** (L; LMCU)","160.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2014","Immatricolati puri ** (L; LMCU)","178.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2015","Immatricolati puri ** (L; LMCU)","135.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2016","Immatricolati puri ** (L; LMCU)","161.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2017","Immatricolati puri ** (L; LMCU)","181.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2018","Immatricolati puri ** (L; LMCU)","175.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2019","Immatricolati puri ** (L; LMCU)","170.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2020","Immatricolati puri ** (L; LMCU)","142.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2021","Immatricolati puri ** (L; LMCU)","174.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2022","Immatricolati puri ** (L; LMCU)","164.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2023","Immatricolati puri ** (L; LMCU)","169.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2024","Immatricolati puri ** (L; LMCU)","174.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2013","Immatricolati puri ** (L; LMCU)","47.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2014","Immatricolati puri ** (L; LMCU)","50.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2015","Immatricolati puri ** (L; LMCU)","54.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2016","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2017","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2018","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2019","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2020","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2021","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2022","Immatricolati puri ** (L; LMCU)","61.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2023","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2024","Immatricolati puri ** (L; LMCU)","58.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2013","Immatricolati puri ** (L; LMCU)","117.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2014","Immatricolati puri ** (L; LMCU)","99.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2015","Immatricolati puri ** (L; LMCU)","131.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2016","Immatricolati puri ** (L; LMCU)","130.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2017","Immatricolati puri ** (L; LMCU)","134.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2018","Immatricolati puri ** (L; LMCU)","134.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2019","Immatricolati puri ** (L; LMCU)","130.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2020","Immatricolati puri ** (L; LMCU)","140.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2021","Immatricolati puri ** (L; LMCU)","135.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2022","Immatricolati puri ** (L; LMCU)","125.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2023","Immatricolati puri ** (L; LMCU)","125.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2024","Immatricolati puri ** (L; LMCU)","130.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2013","Immatricolati puri ** (L; LMCU)","66.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2014","Immatricolati puri ** (L; LMCU)","71.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2015","Immatricolati puri ** (L; LMCU)","65.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2016","Immatricolati puri ** (L; LMCU)","65.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2017","Immatricolati puri ** (L; LMCU)","60.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2018","Immatricolati puri ** (L; LMCU)","54.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2019","Immatricolati puri ** (L; LMCU)","62.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2020","Immatricolati puri ** (L; LMCU)","53.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2021","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2022","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2023","Immatricolati puri ** (L; LMCU)","58.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2024","Immatricolati puri ** (L; LMCU)","60.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2013","Immatricolati puri ** (L; LMCU)","87.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2014","Immatricolati puri ** (L; LMCU)","90.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2015","Immatricolati puri ** (L; LMCU)","99.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2016","Immatricolati puri ** (L; LMCU)","97.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2017","Immatricolati puri ** (L; LMCU)","92.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2018","Immatricolati puri ** (L; LMCU)","83.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2019","Immatricolati puri ** (L; LMCU)","98.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2020","Immatricolati puri ** (L; LMCU)","131.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2021","Immatricolati puri ** (L; LMCU)","161.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2022","Immatricolati puri ** (L; LMCU)","87.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2023","Immatricolati puri ** (L; LMCU)","100.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2024","Immatricolati puri ** (L; LMCU)","126.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2013","Immatricolati puri ** (L; LMCU)","143.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2014","Immatricolati puri ** (L; LMCU)","127.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2015","Immatricolati puri ** (L; LMCU)","128.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2016","Immatricolati puri ** (L; LMCU)","129.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2017","Immatricolati puri ** (L; LMCU)","112.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2018","Immatricolati puri ** (L; LMCU)","112.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2019","Immatricolati puri ** (L; LMCU)","123.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2020","Immatricolati puri ** (L; LMCU)","135.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2021","Immatricolati puri ** (L; LMCU)","165.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2022","Immatricolati puri ** (L; LMCU)","183.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2023","Immatricolati puri ** (L; LMCU)","182.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2024","Immatricolati puri ** (L; LMCU)","182.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2013","Immatricolati puri ** (L; LMCU)","50.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2014","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2015","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2016","Immatricolati puri ** (L; LMCU)","52.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2017","Immatricolati puri ** (L; LMCU)","52.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2018","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2019","Immatricolati puri ** (L; LMCU)","49.000"
