"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2020","Immatricolati puri ** (L; LMCU)","160.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2021","Immatricolati puri ** (L; LMCU)","169.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2022","Immatricolati puri ** (L; LMCU)","165.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2023","Immatricolati puri ** (L; LMCU)","141.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2024","Immatricolati puri ** (L; LMCU)","161.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2025","Immatricolati puri ** (L; LMCU)","116.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2020","Immatricolati puri ** (L; LMCU)","393.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2021","Immatricolati puri ** (L; LMCU)","466.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2022","Immatricolati puri ** (L; LMCU)","435.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2023","Immatricolati puri ** (L; LMCU)","661.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2024","Immatricolati puri ** (L; LMCU)","631.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2025","Immatricolati puri ** (L; LMCU)","341.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2020","Immatricolati puri ** (L; LMCU)","492.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2021","Immatricolati puri ** (L; LMCU)","86.000"
