regione,macro_area,anno,filename,n_laureati,n_intervistati,tasso_risposta,pct_uomini,pct_donne,eta_media_laurea,voto_medio,durata_studi_anni,indice_ritardo,pct_iscritti_magistrale,pct_non_iscritti_post,pct_lavorano_solo,pct_lavorano_e_magistrale,pct_solo_magistrale,pct_non_cerca,pct_cercano_lavoro,tasso_occupazione_totale,tasso_disoccupazione,mesi_primo_lavoro,pct_tempo_indeterminato,pct_tempo_determinato,pct_contratti_formativi,pct_smart_working,pct_part_time,ore_sett_lavoro,pct_settore_pubblico,pct_settore_privato,pct_lavora_al_sud,pct_lavora_estero,retribuzione_media,pct_usa_laurea_molto,pct_usa_laurea_niente,pct_laurea_efficace,soddisfazione_lavoro,pct_occupati_cercano
ABBRUZZO,Sud,2024,datialmalaureaABBRUZZO(occupazione).csv,84.0,84.0,100.0,26.2,73.8,23.4,105.1,4.0,0.32,82.1,16.7,9.5,2.4,79.8,4.8,3.6,11.9,44.4,6.2,20.0,30.0,30.0,10.0,10.0,38.5,,100.0,70.0,10.0,1098.0,10.0,40.0,20.0,7.2,50.0
BASILICATA,Sud,2024,datialmalaureaBASILICATA(occupazione).csv,32.0,32.0,100.0,25.0,75.0,23.8,100.8,4.3,0.45,90.6,9.4,3.1,,90.6,,6.3,3.1,50.0,4.0,,,100.0,,,42.0,,100.0,100.0,,876.0,,100.0,,8.0,100.0
CALABRIA,Sud,2024,datialmalaureaCALABRIA(occupazione).csv,61.0,61.0,100.0,24.6,75.4,23.4,102.4,4.2,0.39,93.4,6.6,4.9,4.9,88.5,,1.6,9.8,33.3,5.8,,33.3,50.0,,16.7,32.0,16.7,83.3,33.3,,1013.0,33.3,16.7,33.3,7.3,33.3
CAMPANIA,Sud,2024,datialmalaureaCAMPANIA(occupazione).csv,119.0,119.0,100.0,26.1,73.9,23.3,104.2,4.1,0.37,89.9,9.2,1.7,2.5,87.4,5.0,3.4,4.2,50.0,4.8,,20.0,60.0,,40.0,29.0,20.0,80.0,80.0,,826.0,40.0,20.0,60.0,7.2,20.0
EMILIA,Nord,2024,datialmalaureaEMILIA(occupazione).csv,371.0,371.0,100.0,26.4,73.6,22.9,98.4,3.4,0.12,86.0,12.1,5.7,5.4,80.1,4.9,4.0,11.1,31.7,4.3,12.2,43.9,17.1,14.6,46.3,30.3,12.2,82.9,7.3,2.4,1052.0,22.0,43.9,30.0,7.5,7.3
FRIULI,Nord,2024,datialmalaureaFRIULI(occupazione).csv,44.0,44.0,100.0,27.3,72.7,23.2,102.2,3.6,0.19,86.4,9.1,4.5,6.8,79.5,9.1,,11.4,,4.6,20.0,20.0,,,40.0,34.0,20.0,80.0,,20.0,1426.0,40.0,40.0,40.0,5.6,60.0
LAZIO,Centro,2024,datialmalaureaLAZIO(occupazione).csv,109.0,109.0,100.0,34.9,65.1,23.6,103.4,4.0,0.34,94.5,5.5,3.7,8.3,86.2,1.8,,11.9,13.3,4.5,,30.8,30.8,,38.5,30.5,23.1,69.2,,7.7,958.0,53.8,38.5,53.8,7.5,7.7
LIGURIA,Nord,2024,datialmalaureaLIGURIA(occupazione).csv,21.0,21.0,100.0,9.5,90.5,22.7,101.9,3.4,0.13,95.2,4.8,4.8,9.5,85.7,,,14.3,,4.3,,66.7,33.3,,66.7,22.0,33.3,66.7,,,650.0,33.3,66.7,33.3,7.0,33.3
LOMBARDIA,Nord,2024,datialmalaureaLOMBARDIA(occupazione).csv,220.0,220.0,100.0,28.6,71.4,22.9,103.0,3.4,0.15,88.2,10.9,9.5,7.7,80.5,2.3,,17.3,13.6,4.1,21.1,44.7,10.5,7.9,44.7,29.1,15.8,81.6,,7.9,1194.0,23.7,36.8,23.7,7.2,7.9
MARCHE,Centro,2024,datialmalaureaMARCHE(occupazione).csv,46.0,46.0,100.0,21.7,78.3,23.1,105.2,3.7,0.22,87.0,13.0,6.5,8.7,76.1,4.3,4.3,15.2,36.4,5.7,14.3,14.3,14.3,14.3,42.9,30.6,14.3,85.7,,14.3,911.0,42.9,28.6,50.0,7.7,28.6
PIEMONTE,Nord,2024,datialmalaureaPIEMONTE(Occupazione).csv,143.0,143.0,100.0,36.4,63.6,23.3,98.1,3.7,0.25,83.9,14.7,9.1,13.3,69.9,5.6,2.1,22.4,8.6,3.6,15.6,18.8,25.0,12.5,50.0,26.7,9.4,87.5,,3.1,847.0,31.3,50.0,35.5,7.1,21.9
PUGLIA,Sud,2024,datialmalaureaPUGLIA(occupazione).csv,93.0,93.0,100.0,26.9,73.1,23.3,102.9,4.0,0.34,92.5,5.4,4.3,5.4,87.1,2.2,1.1,9.7,40.0,4.3,11.1,22.2,33.3,,44.4,27.0,22.2,77.8,88.9,,707.0,11.1,66.7,14.3,7.6,44.4
SARDEGNA,Isole,2024,datialmalaureaSARDEGNA(occupazione).csv,26.0,26.0,100.0,23.1,76.9,23.5,105.6,3.7,0.23,84.6,11.5,7.7,7.7,76.9,3.8,3.8,15.4,20.0,8.3,,,,,100.0,12.3,,100.0,,25.0,519.0,25.0,75.0,25.0,7.0,25.0
