"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","144.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","111.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","118.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","118.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","144.000"
"L-2 - Biotecnologie","0010106200200003 - BIOTECNOLOGIE","Università di Torino","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","130.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","640.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","739.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","704.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","987.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","830.000"
"L-2 - Biotecnologie","0020106200200004 - Biotecnologie","Piemonte Orientale","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","482.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","599.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","97.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","96.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","71.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","99.000"
"L-2 - Biotecnologie","0100106200200004 - Biotecnologie","Università di Genova","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","30.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","123.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","108.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","162.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","176.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","170.000"
"L-2 - Biotecnologie","0120206200200001 - Biotecnologie","Università dell'Insubria","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","177.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","136.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","132.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","121.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","107.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","121.000"
"L-2 - Biotecnologie","0150106200200003 - Biotecnologie mediche","Università di Milano","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","137.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","253.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","277.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","260.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","244.000"
