"1. Popolazione analizzata"
"";""
"Numero di laureati";"74762"
"Numero di intervistati";"74762"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"40,1"
"Donne";"59,9"
"Eta' alla laurea (medie, in anni)";"24,1"
"Voto di laurea (medie, in 110-mi)";"101,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,9"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"2,4"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,31"
"Indice di ritardo (sui laureati in atenei telematici)";"-0,20"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"68,0"
"Sono attualmente iscritti";"67,4"
"Si sono iscritti ad un corso di laurea di primo livello";"0,8"
"Sono attualmente iscritti";"0,7"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"31,2"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"52,8"
"Mancanza di un corso nell’area disciplinare di interesse";"4,4"
"Motivi economici";"3,6"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"14,6"
"Non interessati per altri motivi";"15,0"
"Motivi personali";"6,5"
"Altro motivo";"2,8"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"39,4"
"Per migliorare le possibilita' di trovare lavoro";"33,2"
"Perche' è necessaria per trovare lavoro";"18,2"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"0,5"
"Per migliorare le condizioni dell'attuale lavoro";"8,6"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"78,6"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"17,9"
"Rientra in un settore disciplinare diverso";"3,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"70,7"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,4"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"21,0"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"2,8"
"Tirocinio/praticantato";"1,9"
"Scuola di specializzazione";"0,7"
"Master universitario di primo livello";"4,9"
"Altro tipo di master";"2,7"
"Stage in azienda";"9,7"
"Corso di formazione professionale";"1,7"
"Attivita' sostenuta da borsa di studio";"1,2"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"23,5"
"Lavorano e sono iscritti ad una laurea di secondo livello";"9,3"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"58,0"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"4,7"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"4,3"
"Tasso di occupazione";""
"Uomini";"30,0"
"Donne";"34,8"
"Totale";"32,9"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"32,9"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"52,7"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"12,0"
"Non hanno mai lavorato dopo la laurea";"55,1"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"56,3"
"Non lavorano ma cercano";"10,8"
"Tasso di disoccupazione";"16,9"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"24576"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,9"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,4"
"Tempo dalla laurea al reperimento del primo lavoro";"3,3"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"0,6"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"18,4"
"Professioni tecniche";"59,4"
"Professioni esecutive nel lavoro d'ufficio";"10,9"
"Altre professioni";"10,7"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"8,8"
"Tempo indeterminato";"27,3"
"Tempo determinato";"33,3"
"Borsa o assegno di studio o di ricerca";"1,6"
"Contratti formativi";"18,1"
"Altre forme contrattuali";"9,0"
"Senza contratto";"1,9"
"Diffusione dello smart working (%)";"15,8"
"Diffusione del part-time (%)";"28,8"
"Diffusione del part-time involontario (%)";"12,8"
"Numero di ore settimanali di lavoro (medie)";"33,8"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"18,8"
"Privato";"75,3"
"Non profit";"5,8"
"Ramo di attivita' economica (%)";""
"Agricoltura";"1,0"
"Metalmeccanica e meccanica di precisione";"3,3"
"Edilizia";"1,9"
"Chimica/Energia";"2,3"
"Altra industria manifatturiera";"3,6"
"Totale industria";"11,1"
"Commercio";"11,7"
"Credito, assicurazioni";"2,7"
"Trasporti, pubblicita', comunicazioni";"4,6"
"Consulenze varie";"9,2"
"Informatica";"4,9"
"Altri servizi alle imprese";"2,8"
"Pubblica amministrazione, forze armate";"1,8"
"Istruzione e ricerca";"7,5"
"Sanita'";"27,9"
"Altri servizi";"14,3"
"Totale servizi";"87,4"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"28,8"
"Nord-Est";"22,0"
"Centro";"20,0"
"Sud";"18,2"
"Isole";"7,7"
"Estero";"2,9"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"1367"
"Donne";"1281"
"Totale";"1312"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1312"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"59,6"
"In misura ridotta";"29,2"
"Per niente";"10,9"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"63,9"
"Poco adeguata";"26,3"
"Per niente adeguata";"9,5"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"47,5"
"Non richiesta ma necessaria";"20,4"
"Non richiesta ma utile";"23,1"
"Non richiesta ne' utile";"8,8"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"67,5"
"Abbastanza efficace";"21,0"
"Poco/Per nulla efficace";"11,6"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,8"
"Occupati che cercano lavoro (%)";"21,5"
