"1. Popolazione analizzata"
"";""
"Numero di laureati";"1950"
"Numero di intervistati";"1950"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"27,7"
"Donne";"72,3"
"Eta' alla laurea (medie, in anni)";"23,1"
"Voto di laurea (medie, in 110-mi)";"102,6"
"Durata degli studi (medie, in anni)";"3,7"
"Indice di ritardo";"0,23"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"89,6"
"Sono attualmente iscritti";"88,9"
"Si sono iscritti ad un corso di laurea di primo livello";"1,0"
"Sono attualmente iscritti";"1,0"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"9,3"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"35,2"
"Mancanza di un corso nell’area disciplinare di interesse";"2,7"
"Motivi economici";"4,4"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"8,2"
"Non interessati per altri motivi";"27,5"
"Motivi personali";"18,7"
"Altro motivo";"3,3"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"33,0"
"Per migliorare le possibilita' di trovare lavoro";"35,0"
"Perche' è necessaria per trovare lavoro";"22,6"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"0,5"
"Per migliorare le condizioni dell'attuale lavoro";"8,8"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"78,4"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"19,3"
"Rientra in un settore disciplinare diverso";"2,3"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"58,4"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,5"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"12,6"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"3,1"
"Tirocinio/praticantato";"1,2"
"Scuola di specializzazione";"0,8"
"Master universitario di primo livello";"1,6"
"Altro tipo di master";"1,0"
"Stage in azienda";"5,4"
"Corso di formazione professionale";"0,6"
"Attivita' sostenuta da borsa di studio";"1,2"
"3. Condizione occupazionale"
