"1. Popolazione analizzata"
"";""
"Numero di laureati";"84"
"Numero di intervistati";"84"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"26,2"
"Donne";"73,8"
"Eta' alla laurea (medie, in anni)";"23,4"
"Voto di laurea (medie, in 110-mi)";"105,1"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"4,0"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,32"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"82,1"
"Sono attualmente iscritti";"82,1"
"Si sono iscritti ad un corso di laurea di primo livello";"1,2"
"Sono attualmente iscritti";"1,2"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"16,7"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"50,0"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"7,1"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"7,1"
"Non interessati per altri motivi";"21,4"
"Motivi personali";"14,3"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"40,6"
"Per migliorare le possibilita' di trovare lavoro";"24,6"
"Perche' è necessaria per trovare lavoro";"26,1"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"8,7"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"82,6"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"14,5"
"Rientra in un settore disciplinare diverso";"2,9"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"63,8"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,1"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"9,5"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"1,2"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"1,2"
"Altro tipo di master";"-"
"Stage in azienda";"6,0"
"Corso di formazione professionale";"1,2"
"Attivita' sostenuta da borsa di studio";"-"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"9,5"
"Lavorano e sono iscritti ad una laurea di secondo livello";"2,4"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"79,8"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"4,8"
