"1. Popolazione analizzata"
"";""
"Numero di laureati";"32"
"Numero di intervistati";"32"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"25,0"
"Donne";"75,0"
"Eta' alla laurea (medie, in anni)";"23,8"
"Voto di laurea (medie, in 110-mi)";"100,8"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"4,3"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,45"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"90,6"
"Sono attualmente iscritti";"90,6"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"9,4"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"66,7"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"-"
"Motivi personali";"-"
"Altro motivo";"33,3"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"44,8"
"Per migliorare le possibilita' di trovare lavoro";"27,6"
"Perche' è necessaria per trovare lavoro";"24,1"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"3,4"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"82,8"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"17,2"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"51,7"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,4"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"15,6"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"6,3"
"Tirocinio/praticantato";"3,1"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"-"
"Altro tipo di master";"-"
"Stage in azienda";"6,3"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"-"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"3,1"
"Lavorano e sono iscritti ad una laurea di secondo livello";"-"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"90,6"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"-"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"6,3"
"Tasso di occupazione";""
"Uomini";"-"
"Donne";"4,2"
"Totale";"3,1"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"3,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"84,4"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"-"
"Non hanno mai lavorato dopo la laurea";"96,9"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"84,4"
"Non lavorano ma cercano";"12,5"
"Tasso di disoccupazione";"50,0"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"1"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,0"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"4,0"
"Tempo dalla laurea al reperimento del primo lavoro";"4,0"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"-"
"Professioni tecniche";"-"
"Professioni esecutive nel lavoro d'ufficio";"100,0"
"Altre professioni";"-"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"-"
"Tempo determinato";"-"
"Borsa o assegno di studio o di ricerca";"-"
"Contratti formativi";"100,0"
"Altre forme contrattuali";"-"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"-"
"Diffusione del part-time involontario (%)";"-"
"Numero di ore settimanali di lavoro (medie)";"42,0"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"-"
"Privato";"100,0"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"-"
"Altra industria manifatturiera";"-"
"Totale industria";"-"
"Commercio";"-"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"-"
"Informatica";"-"
"Altri servizi alle imprese";"100,0"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"-"
"Sanita'";"-"
"Altri servizi";"-"
"Totale servizi";"100,0"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"-"
"Centro";"-"
"Sud";"100,0"
"Isole";"-"
"Estero";"-"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"-"
"Donne";"876"
"Totale";"876"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"876"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"-"
"In misura ridotta";"-"
"Per niente";"100,0"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"-"
"Poco adeguata";"-"
"Per niente adeguata";"100,0"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"-"
"Non richiesta ma necessaria";"-"
"Non richiesta ma utile";"-"
"Non richiesta ne' utile";"100,0"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"-"
"Abbastanza efficace";"-"
"Poco/Per nulla efficace";"100,0"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"8,0"
"Occupati che cercano lavoro (%)";"100,0"
