"1. Popolazione analizzata"
"";""
"Numero di laureati";"61"
"Numero di intervistati";"61"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"24,6"
"Donne";"75,4"
"Eta' alla laurea (medie, in anni)";"23,4"
"Voto di laurea (medie, in 110-mi)";"102,4"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"4,2"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,39"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"93,4"
"Sono attualmente iscritti";"93,4"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"6,6"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"50,0"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"25,0"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"25,0"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"31,6"
"Per migliorare le possibilita' di trovare lavoro";"26,3"
"Perche' è necessaria per trovare lavoro";"31,6"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"10,5"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"78,9"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"17,5"
"Rientra in un settore disciplinare diverso";"3,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"64,9"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,6"
"2b. Formazione post-laurea"
"";""
