"1. Popolazione analizzata"
"";""
"Numero di laureati";"119"
"Numero di intervistati";"119"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"26,1"
"Donne";"73,9"
"Eta' alla laurea (medie, in anni)";"23,3"
"Voto di laurea (medie, in 110-mi)";"104,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"4,1"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,37"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"89,9"
"Sono attualmente iscritti";"89,9"
"Si sono iscritti ad un corso di laurea di primo livello";"0,8"
"Sono attualmente iscritti";"0,8"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"9,2"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"18,2"
"Mancanza di un corso nell’area disciplinare di interesse";"18,2"
"Motivi economici";"9,1"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"27,3"
"Non interessati per altri motivi";"27,3"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"31,8"
"Per migliorare le possibilita' di trovare lavoro";"28,0"
"Perche' è necessaria per trovare lavoro";"27,1"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"12,1"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"78,5"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"16,8"
"Rientra in un settore disciplinare diverso";"4,7"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"66,4"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,5"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"22,7"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"6,7"
"Tirocinio/praticantato";"6,7"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"2,5"
"Altro tipo di master";"-"
"Stage in azienda";"5,0"
"Corso di formazione professionale";"4,2"
"Attivita' sostenuta da borsa di studio";"0,8"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"1,7"
"Lavorano e sono iscritti ad una laurea di secondo livello";"2,5"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"87,4"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"5,0"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"3,4"
"Tasso di occupazione";""
"Uomini";"6,5"
"Donne";"3,4"
"Totale";"4,2"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"4,2"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"83,2"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"6,7"
"Non hanno mai lavorato dopo la laurea";"89,1"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"87,4"
"Non lavorano ma cercano";"8,4"
