"1. Popolazione analizzata"
"";""
"Numero di laureati";"44"
"Numero di intervistati";"44"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"27,3"
"Donne";"72,7"
"Eta' alla laurea (medie, in anni)";"23,2"
"Voto di laurea (medie, in 110-mi)";"102,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,6"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,19"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"86,4"
"Sono attualmente iscritti";"86,4"
"Si sono iscritti ad un corso di laurea di primo livello";"4,5"
"Sono attualmente iscritti";"4,5"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"9,1"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"25,0"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"50,0"
"Motivi personali";"-"
"Altro motivo";"25,0"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"26,3"
"Per migliorare le possibilita' di trovare lavoro";"31,6"
"Perche' è necessaria per trovare lavoro";"31,6"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"10,5"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"71,1"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"23,7"
"Rientra in un settore disciplinare diverso";"5,3"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"52,6"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,9"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"6,8"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"2,3"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"2,3"
"Altro tipo di master";"-"
"Stage in azienda";"4,5"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"-"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"4,5"
"Lavorano e sono iscritti ad una laurea di secondo livello";"6,8"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"79,5"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"9,1"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"8,3"
