"1. Popolazione analizzata"
"";""
"Numero di laureati";"109"
"Numero di intervistati";"109"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"34,9"
"Donne";"65,1"
"Eta' alla laurea (medie, in anni)";"23,6"
"Voto di laurea (medie, in 110-mi)";"103,4"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"4,0"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,34"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"94,5"
"Sono attualmente iscritti";"94,5"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"5,5"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"33,3"
"Mancanza di un corso nell’area disciplinare di interesse";"16,7"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"33,3"
"Motivi personali";"16,7"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"33,0"
"Per migliorare le possibilita' di trovare lavoro";"36,9"
"Perche' è necessaria per trovare lavoro";"23,3"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"6,8"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"71,8"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"24,3"
"Rientra in un settore disciplinare diverso";"3,9"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"66,0"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,6"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"18,3"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"7,3"
"Tirocinio/praticantato";"3,7"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"1,8"
"Altro tipo di master";"2,8"
"Stage in azienda";"8,3"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"2,8"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"3,7"
"Lavorano e sono iscritti ad una laurea di secondo livello";"8,3"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"86,2"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"1,8"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"21,1"
"Donne";"7,0"
"Totale";"11,9"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"11,9"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"82,6"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"11,0"
"Non hanno mai lavorato dopo la laurea";"77,1"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"84,4"
"Non lavorano ma cercano";"3,7"
"Tasso di disoccupazione";"13,3"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"13"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,2"
