"1. Popolazione analizzata"
"";""
"Numero di laureati";"21"
"Numero di intervistati";"21"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"9,5"
"Donne";"90,5"
"Eta' alla laurea (medie, in anni)";"22,7"
"Voto di laurea (medie, in 110-mi)";"101,9"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,4"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,13"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"95,2"
"Sono attualmente iscritti";"95,2"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"4,8"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"-"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"100,0"
"Non interessati per altri motivi";"-"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"35,0"
"Per migliorare le possibilita' di trovare lavoro";"45,0"
"Perche' è necessaria per trovare lavoro";"15,0"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"5,0"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"75,0"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"25,0"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"70,0"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"7,8"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"23,8"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"4,8"
"Tirocinio/praticantato";"14,3"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"-"
"Altro tipo di master";"4,8"
"Stage in azienda";"-"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"-"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"4,8"
"Lavorano e sono iscritti ad una laurea di secondo livello";"9,5"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"85,7"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"-"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"*"
"Donne";"*"
"Totale";"14,3"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"14,3"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"85,7"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"9,5"
"Non hanno mai lavorato dopo la laurea";"76,2"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"85,7"
"Non lavorano ma cercano";"-"
"Tasso di disoccupazione";"-"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"3"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,7"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,7"
"Tempo dalla laurea al reperimento del primo lavoro";"4,3"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"-"
"Professioni tecniche";"33,3"
"Professioni esecutive nel lavoro d'ufficio";"33,3"
"Altre professioni";"33,3"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"-"
"Tempo determinato";"66,7"
"Borsa o assegno di studio o di ricerca";"-"
"Contratti formativi";"33,3"
"Altre forme contrattuali";"-"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"66,7"
"Diffusione del part-time involontario (%)";"33,3"
"Numero di ore settimanali di lavoro (medie)";"22,0"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"33,3"
"Privato";"66,7"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"33,3"
"Altra industria manifatturiera";"-"
"Totale industria";"33,3"
"Commercio";"33,3"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"-"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"33,3"
"Sanita'";"-"
"Altri servizi";"-"
"Totale servizi";"66,7"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"100,0"
"Nord-Est";"-"
"Centro";"-"
"Sud";"-"
"Isole";"-"
"Estero";"-"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"*"
"Donne";"*"
"Totale";"650"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"650"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"33,3"
"In misura ridotta";"-"
"Per niente";"66,7"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"33,3"
"Poco adeguata";"33,3"
"Per niente adeguata";"33,3"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"33,3"
"Non richiesta ma necessaria";"-"
"Non richiesta ma utile";"33,3"
"Non richiesta ne' utile";"33,3"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"33,3"
"Abbastanza efficace";"-"
"Poco/Per nulla efficace";"66,7"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,0"
"Occupati che cercano lavoro (%)";"33,3"
