"1. Popolazione analizzata"
"";""
"Numero di laureati";"220"
"Numero di intervistati";"220"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"28,6"
"Donne";"71,4"
"Eta' alla laurea (medie, in anni)";"22,9"
"Voto di laurea (medie, in 110-mi)";"103,0"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,4"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,15"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"88,2"
"Sono attualmente iscritti";"88,2"
"Si sono iscritti ad un corso di laurea di primo livello";"0,9"
"Sono attualmente iscritti";"0,9"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"10,9"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"41,7"
"Mancanza di un corso nell’area disciplinare di interesse";"8,3"
"Motivi economici";"8,3"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"33,3"
"Motivi personali";"4,2"
"Altro motivo";"4,2"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"32,0"
"Per migliorare le possibilita' di trovare lavoro";"33,0"
"Perche' è necessaria per trovare lavoro";"20,1"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"14,9"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"75,3"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"22,7"
"Rientra in un settore disciplinare diverso";"2,1"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"67,5"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,6"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"16,4"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"5,0"
"Tirocinio/praticantato";"1,8"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"2,3"
"Altro tipo di master";"0,9"
"Stage in azienda";"8,2"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"2,3"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"9,5"
"Lavorano e sono iscritti ad una laurea di secondo livello";"7,7"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"80,5"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"2,3"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"27,0"
"Donne";"13,4"
"Totale";"17,3"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"17,3"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"78,2"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"9,5"
"Non hanno mai lavorato dopo la laurea";"73,2"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"79,5"
"Non lavorano ma cercano";"3,2"
"Tasso di disoccupazione";"13,6"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"38"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,0"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,2"
"Tempo dalla laurea al reperimento del primo lavoro";"4,1"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"2,6"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"23,7"
"Professioni tecniche";"42,1"
"Professioni esecutive nel lavoro d'ufficio";"-"
"Altre professioni";"31,6"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"2,6"
"Tempo indeterminato";"21,1"
"Tempo determinato";"44,7"
"Borsa o assegno di studio o di ricerca";"7,9"
"Contratti formativi";"10,5"
"Altre forme contrattuali";"13,2"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"7,9"
"Diffusione del part-time (%)";"44,7"
"Diffusione del part-time involontario (%)";"13,2"
"Numero di ore settimanali di lavoro (medie)";"29,1"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"15,8"
"Privato";"81,6"
"Non profit";"2,6"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"2,6"
"Edilizia";"2,6"
"Chimica/Energia";"36,8"
"Altra industria manifatturiera";"2,6"
"Totale industria";"44,7"
"Commercio";"26,3"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"7,9"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"2,6"
"Istruzione e ricerca";"2,6"
"Sanita'";"13,2"
"Altri servizi";"2,6"
"Totale servizi";"55,3"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"84,2"
"Nord-Est";"2,6"
"Centro";"2,6"
"Sud";"-"
"Isole";"2,6"
"Estero";"7,9"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"1188"
"Donne";"1199"
"Totale";"1194"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1194"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"23,7"
"In misura ridotta";"39,5"
"Per niente";"36,8"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"26,3"
"Poco adeguata";"44,7"
"Per niente adeguata";"28,9"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"13,2"
"Non richiesta ma necessaria";"10,5"
"Non richiesta ma utile";"50,0"
"Non richiesta ne' utile";"26,3"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"23,7"
"Abbastanza efficace";"39,5"
"Poco/Per nulla efficace";"36,8"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,2"
"Occupati che cercano lavoro (%)";"7,9"
