"1. Popolazione analizzata"
"";""
"Numero di laureati";"46"
"Numero di intervistati";"46"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"21,7"
"Donne";"78,3"
"Eta' alla laurea (medie, in anni)";"23,1"
"Voto di laurea (medie, in 110-mi)";"105,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,22"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"87,0"
"Sono attualmente iscritti";"84,8"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"13,0"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"16,7"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"16,7"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"33,3"
"Non interessati per altri motivi";"-"
"Motivi personali";"16,7"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"32,5"
"Per migliorare le possibilita' di trovare lavoro";"35,0"
"Perche' è necessaria per trovare lavoro";"20,0"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"12,5"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"75,0"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"22,5"
"Rientra in un settore disciplinare diverso";"2,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"43,6"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,3"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"15,2"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"2,2"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"2,2"
"Altro tipo di master";"2,2"
"Stage in azienda";"4,3"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"4,3"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"6,5"
"Lavorano e sono iscritti ad una laurea di secondo livello";"8,7"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"76,1"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"4,3"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"4,3"
"Tasso di occupazione";""
"Uomini";"20,0"
"Donne";"13,9"
"Totale";"15,2"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"15,2"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"69,6"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"10,9"
"Non hanno mai lavorato dopo la laurea";"73,9"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"73,9"
"Non lavorano ma cercano";"10,9"
"Tasso di disoccupazione";"36,4"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"7"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,8"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,8"
"Tempo dalla laurea al reperimento del primo lavoro";"5,7"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"14,3"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"14,3"
"Professioni tecniche";"14,3"
"Professioni esecutive nel lavoro d'ufficio";"14,3"
"Altre professioni";"42,9"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"14,3"
"Tempo indeterminato";"14,3"
"Tempo determinato";"14,3"
"Borsa o assegno di studio o di ricerca";"14,3"
"Contratti formativi";"14,3"
"Altre forme contrattuali";"14,3"
"Senza contratto";"14,3"
"Diffusione dello smart working (%)";"14,3"
"Diffusione del part-time (%)";"42,9"
"Diffusione del part-time involontario (%)";"-"
"Numero di ore settimanali di lavoro (medie)";"30,6"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"14,3"
"Privato";"85,7"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"-"
"Altra industria manifatturiera";"14,3"
"Totale industria";"14,3"
"Commercio";"28,6"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"-"
"Informatica";"14,3"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"14,3"
"Istruzione e ricerca";"-"
"Sanita'";"28,6"
"Altri servizi";"-"
"Totale servizi";"85,7"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"42,9"
"Centro";"42,9"
"Sud";"-"
"Isole";"-"
"Estero";"14,3"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"1001"
"Donne";"876"
"Totale";"911"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"911"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"42,9"
"In misura ridotta";"28,6"
"Per niente";"28,6"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"42,9"
"Poco adeguata";"14,3"
"Per niente adeguata";"42,9"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"28,6"
"Non richiesta ma necessaria";"28,6"
"Non richiesta ma utile";"-"
"Non richiesta ne' utile";"42,9"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"50,0"
"Abbastanza efficace";"-"
"Poco/Per nulla efficace";"50,0"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,7"
"Occupati che cercano lavoro (%)";"28,6"
