"1. Popolazione analizzata"
"";""
"Numero di laureati";"3216"
"Numero di intervistati";"2395"
"Tasso di risposta sul totale dei laureati";"74,5"
"Tasso di risposta sui laureati contattabili";"78,4"
"Genere (%)";""
"Uomini";"29,7"
"Donne";"70,3"
"Eta' alla laurea (medie, in anni)";"23,2"
"Voto di laurea (medie, in 110-mi)";"102,3"
"Durata degli studi (medie, in anni)";"3,7"
"Indice di ritardo";"0,24"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"89,2"
"Sono attualmente iscritti";"88,6"
"Si sono iscritti ad un corso di laurea di primo livello";"1,0"
"Sono attualmente iscritti";"1,0"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"9,8"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"36,3"
"Mancanza di un corso nell’area disciplinare di interesse";"3,4"
"Motivi economici";"6,4"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"9,0"
"Non interessati per altri motivi";"24,8"
"Motivi personali";"17,5"
"Altro motivo";"2,6"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"32,7"
"Per migliorare le possibilita' di trovare lavoro";"35,4"
"Perche' è necessaria per trovare lavoro";"22,2"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"0,5"
"Per migliorare le condizioni dell'attuale lavoro";"9,0"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"76,7"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"20,8"
"Rientra in un settore disciplinare diverso";"2,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"57,3"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,5"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"13,3"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"3,5"
"Tirocinio/praticantato";"1,5"
"Scuola di specializzazione";"0,8"
"Master universitario di primo livello";"1,8"
"Altro tipo di master";"1,0"
"Stage in azienda";"5,6"
"Corso di formazione professionale";"0,8"
"Attivita' sostenuta da borsa di studio";"1,3"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"5,9"
"Lavorano e sono iscritti ad una laurea di secondo livello";"12,0"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"76,6"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"3,9"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"1,6"
"Tasso di occupazione";""
"Uomini";"20,4"
"Donne";"16,8"
"Totale";"17,9"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"73,7"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"14,9"
"Non hanno mai lavorato dopo la laurea";"67,2"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"76,7"
"Non lavorano ma cercano";"5,3"
"Tasso di disoccupazione";"14,6"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"428"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"35,5"
"Non proseguono il lavoro iniziato prima della laurea";"17,3"
"Hanno iniziato a lavorare dopo la laurea";"47,2"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,6"
"Tempo dalla laurea al reperimento del primo lavoro";"4,2"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"0,9"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"19,9"
"Professioni tecniche";"18,5"
"Professioni esecutive nel lavoro d'ufficio";"9,5"
"Altre professioni";"42,9"
"Altro";"8,3"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"3,7"
"Tempo indeterminato";"13,6"
"Tempo determinato";"31,1"
"Borsa o assegno di studio o di ricerca";"3,7"
"Contratti formativi";"10,5"
"Altre forme contrattuali";"25,5"
