"1. Popolazione analizzata"
"";""
"Numero di laureati";"143"
"Numero di intervistati";"143"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"36,4"
"Donne";"63,6"
"Eta' alla laurea (medie, in anni)";"23,3"
"Voto di laurea (medie, in 110-mi)";"98,1"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,25"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"83,9"
"Sono attualmente iscritti";"83,2"
"Si sono iscritti ad un corso di laurea di primo livello";"1,4"
"Sono attualmente iscritti";"1,4"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"14,7"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"47,6"
"Mancanza di un corso nell’area disciplinare di interesse";"4,8"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"14,3"
"Non interessati per altri motivi";"19,0"
"Motivi personali";"9,5"
"Altro motivo";"4,8"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"36,7"
"Per migliorare le possibilita' di trovare lavoro";"39,2"
"Perche' è necessaria per trovare lavoro";"19,2"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"0,8"
"Per migliorare le condizioni dell'attuale lavoro";"4,2"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"75,0"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"22,5"
"Rientra in un settore disciplinare diverso";"2,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"52,9"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,5"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"21,0"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"4,2"
"Tirocinio/praticantato";"3,5"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"3,5"
"Altro tipo di master";"0,7"
"Stage in azienda";"11,2"
"Corso di formazione professionale";"0,7"
"Attivita' sostenuta da borsa di studio";"1,4"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"9,1"
"Lavorano e sono iscritti ad una laurea di secondo livello";"13,3"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"69,9"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"5,6"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"2,1"
"Tasso di occupazione";""
"Uomini";"23,1"
"Donne";"22,0"
"Totale";"22,4"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"22,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"71,3"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"13,3"
"Non hanno mai lavorato dopo la laurea";"64,3"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"74,1"
"Non lavorano ma cercano";"3,5"
"Tasso di disoccupazione";"8,6"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"32"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,9"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,8"
"Tempo dalla laurea al reperimento del primo lavoro";"3,6"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"22,6"
"Professioni tecniche";"29,0"
"Professioni esecutive nel lavoro d'ufficio";"3,2"
"Altre professioni";"45,2"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"15,6"
"Tempo determinato";"18,8"
"Borsa o assegno di studio o di ricerca";"3,1"
"Contratti formativi";"25,0"
"Altre forme contrattuali";"34,4"
"Senza contratto";"3,1"
"Diffusione dello smart working (%)";"12,5"
"Diffusione del part-time (%)";"50,0"
"Diffusione del part-time involontario (%)";"9,4"
"Numero di ore settimanali di lavoro (medie)";"26,7"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"9,4"
"Privato";"87,5"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"3,1"
"Metalmeccanica e meccanica di precisione";"6,3"
"Edilizia";"-"
"Chimica/Energia";"9,4"
"Altra industria manifatturiera";"3,1"
"Totale industria";"18,8"
"Commercio";"37,5"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"6,3"
"Consulenze varie";"6,3"
"Informatica";"-"
"Altri servizi alle imprese";"9,4"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"9,4"
"Sanita'";"-"
"Altri servizi";"6,3"
"Totale servizi";"75,0"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"78,1"
"Nord-Est";"15,6"
"Centro";"-"
"Sud";"-"
"Isole";"-"
"Estero";"3,1"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"959"
"Donne";"777"
"Totale";"847"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"847"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"31,3"
"In misura ridotta";"15,6"
"Per niente";"50,0"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"37,5"
"Poco adeguata";"15,6"
"Per niente adeguata";"43,8"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"15,6"
"Non richiesta ma necessaria";"18,8"
"Non richiesta ma utile";"28,1"
"Non richiesta ne' utile";"34,4"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
