"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"3265"
"Hanno compilato il questionario";"3116"
"Tasso di compilazione";"95,4"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";""
"Uomini";"30,8"
"Donne";"69,2"
"Eta' alla laurea (%)";""
"Meno di 23 anni";"62,6"
"23-24 anni";"27,4"
"25-26 anni";"5,9"
"27 anni e oltre";"4,1"
"Eta' alla laurea (medie, in anni)";"23,2"
"Cittadini stranieri (%)";"3,2"
"Residenza (%)";""
"Stessa provincia della sede degli studi";"39,1"
"Altra provincia della stessa regione";"27,4"
"Altra regione";"32,9"
"Estero";"0,6"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%)";""
"Almeno un genitore laureato";"34,4"
"Entrambi con laurea";"12,2"
"Uno solo con laurea";"22,2"
"Nessun genitore laureato";"63,5"
"Diploma di scuola secondaria di secondo grado";"47,8"
"Qualifica professionale, titolo inferiore o nessun titolo";"15,7"
"Classe sociale (%)";""
"Classe elevata";"23,0"
"Classe media impiegatizia";"32,8"
"Classe media autonoma";"20,3"
"Classe del lavoro esecutivo";"21,5"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%)";""
"Liceale";"83,6"
"Liceo classico";"13,8"
"Liceo linguistico";"5,9"
"Liceo scientifico";"59,4"
"Liceo delle scienze umane";"4,0"
"Liceo artistico e musicale e coreutico";"0,5"
"Tecnico";"13,2"
"Tecnico economico";"1,9"
"Tecnico tecnologico";"11,3"
"Professionale";"1,2"
"Titolo estero";"2,0"
"Voto di diploma (medie, in 100-mi)";"84,1"
"Hanno conseguito il diploma (%)";""
"Nella stessa provincia della sede degli studi universitari";"37,0"
"In una provincia limitrofa";"26,4"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"17,4"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"14,5"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,9"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,6"
"All'estero";"2,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%)";"11,9"
"Portate a termine";"0,8"
"Non portate a termine";"11,1"
"Nessuna precedente esperienza universitaria";"87,8"
"Motivazioni molto importanti nella scelta del corso di laurea (%)";""
"Fattori sia culturali sia professionalizzanti";"43,0"
"Fattori prevalentemente culturali";"37,7"
"Fattori prevalentemente professionalizzanti";"3,6"
"Ne' gli uni ne' gli altri";"15,6"
"Eta' all'immatricolazione (%)";""
"Regolare o 1 anno di ritardo";"94,8"
"2 o più anni di ritardo";"5,2"
"Punteggio degli esami (medie, in 30-mi)";"25,7"
"Voto di laurea (medie, in 110-mi)";"101,7"
"Regolarita' negli studi (per 100 con titolo in Atenei non telematici)";""
"In corso";"69,9"
"1° anno fuori corso";"17,7"
"2° anno fuori corso";"5,9"
"3° anno fuori corso";"2,8"
"4° anno fuori corso";"1,4"
"5° anno fuori corso e oltre";"2,4"
"Durata degli studi (medie, in anni; per 100 con titolo in Atenei non telematici)";"3,7"
"Ritardo alla laurea (medie, in anni; per 100 con titolo in Atenei non telematici)";"0,7"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso; per 100 con titolo in Atenei non telematici)";"0,24"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";""
"Più del 50% della durata degli studi";"65,9"
"Meno del 50%";"33,1"
"Hanno frequentato regolarmente (%)";""
"Più del 75% degli insegnamenti previsti";"78,8"
"Tra il 50% e il 75%";"15,3"
"Tra il 25% e il 50%";"4,0"
"Meno del 25%";"1,1"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio";"25,4"
"Hanno svolto periodi di studio all’estero durante il corso di studio (%)";"4,4"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio";"3,9"
"Con Erasmus o altro programma dell'Unione Europea";"3,5"
"Altra esperienza riconosciuta dal corso di studio";"0,4"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"75,2"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"30,6"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di studio (%)";"76,3"
"Tirocini curriculari organizzati dal corso e svolti presso l'universita'";"51,7"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'universita'";"21,2"
"Attivita' di lavoro successivamente riconosciute dal corso";"2,4"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"2,8"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%)";"51,4"
"Lavoratori-studenti";"1,9"
"Altre esperienze di lavoro con continuita' a tempo pieno";"1,8"
"Lavoro a tempo parziale";"13,1"
"Lavoro occasionale, saltuario, stagionale";"34,5"
"Nessuna esperienza di lavoro";"48,4"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"3,9"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";""
"Decisamente sì";"41,6"
"Più sì che no";"50,1"
"Più no che sì";"6,9"
"Decisamente no";"0,6"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";""
"Decisamente sì";"22,1"
"Più sì che no";"67,4"
"Più no che sì";"9,1"
"Decisamente no";"0,5"
"Sono soddisfatti dei rapporti con gli studenti (%)";""
"Decisamente sì";"53,6"
"Più sì che no";"38,8"
"Più no che sì";"5,7"
"Decisamente no";"1,0"
"Hanno utilizzato le aule (%)";"98,6"
"Valutazione delle aule (per 100 fruitori)";""
"Sempre o quasi sempre adeguate";"33,2"
"Spesso adeguate";"48,0"
"Raramente adeguate";"16,2"
"Mai adeguate";"2,6"
"Hanno utilizzato le postazioni informatiche (%)";"70,5"
"Non le hanno utilizzate nonostante fossero presenti";"22,0"
"Non le hanno utilizzate in quanto non presenti";"6,8"
"Valutazione delle postazioni informatiche (per 100 fruitori)";""
"In numero adeguato";"62,3"
"In numero inadeguato";"37,7"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"71,9"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";""
"Decisamente positiva";"40,3"
"Abbastanza positiva";"54,1"
"Abbastanza negativa";"4,5"
"Decisamente negativa";"1,1"
"Hanno utilizzato le attrezzature per le altre attivita' didattiche (laboratori, attivita' pratiche, ...) (%)";"96,1"
"Valutazione delle attrezzature per le altre attivita' didattiche (laboratori, attivita' pratiche, …) (per 100 fruitori)";""
"Sempre o quasi sempre adeguate";"36,9"
"Spesso adeguate";"45,2"
"Raramente adeguate";"14,9"
"Mai adeguate";"3,0"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"76,5"
"Non li hanno utilizzati nonostante fossero presenti";"18,1"
"Non li hanno utilizzati in quanto non presenti";"4,5"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)";""
"Adeguati";"70,6"
"Inadeguati";"29,4"
"Hanno usufruito dei servizi di orientamento allo studio post-laurea (%)";"63,5"
"Sono soddisfatti dei servizi di orientamento allo studio post-laurea (per 100 fruitori)";""
"Decisamente sì";"18,6"
"Più sì che no";"44,5"
"Più no che sì";"25,1"
"Decisamente no";"11,7"
"Hanno usufruito di iniziative formative di orientamento al lavoro (%)";"56,1"
"Sono soddisfatti delle iniziative formative di orientamento al lavoro (per 100 fruitori)";""
"Decisamente sì";"18,0"
"Più sì che no";"40,4"
"Più no che sì";"25,6"
"Decisamente no";"16,0"
"Hanno usufruito dei servizi di sostegno alla ricerca del lavoro (%)";"49,6"
"Sono soddisfatti dei servizi di sostegno alla ricerca del lavoro (per 100 fruitori)";""
"Decisamente sì";"15,0"
"Più sì che no";"37,3"
"Più no che sì";"29,2"
"Decisamente no";"18,5"
"Hanno usufruito dell'ufficio/servizi job placement (%)";"53,1"
"Sono soddisfatti dell'organizzazione dell'ufficio/servizi job placement (per 100 fruitori)";""
"Decisamente sì";"16,6"
"Più sì che no";"44,5"
"Più no che sì";"26,4"
"Decisamente no";"12,5"
"Hanno usufruito dei servizi delle segreterie studenti (%)";"94,4"
"Sono soddisfatti dei servizi delle segreterie studenti (per 100 fruitori)";""
"Decisamente sì";"13,7"
"Più sì che no";"45,3"
"Più no che sì";"27,2"
"Decisamente no";"13,8"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)";""
"Sempre o quasi sempre";"33,7"
"Per più della meta' degli esami";"52,6"
"Per meno della meta' degli esami";"11,4"
"Mai o quasi mai";"1,9"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)";""
"Decisamente sì";"37,3"
"Più sì che no";"44,8"
"Più no che sì";"14,6"
"Decisamente no";"2,8"
"Si iscriverebbero di nuovo all'universita'? (%)";""
"Sì, allo stesso corso dell'Ateneo";"70,0"
"Sì, ma ad un altro corso dell'Ateneo";"9,3"
"Sì, allo stesso corso ma in un altro Ateneo";"14,4"
"Sì, ma ad un altro corso e in un altro Ateneo";"4,9"
"Non si iscriverebbero più all'universita'";"0,7"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";""
"Lingue straniere: conoscenza “almeno B2” (%)";""
"Inglese scritto";"58,1"
"Inglese parlato";"54,5"
"Francese scritto";"4,2"
"Francese parlato";"4,2"
"Spagnolo scritto";"5,0"
"Spagnolo parlato";"5,0"
"Tedesco scritto";"1,2"
"Tedesco parlato";"1,3"
"Strumenti informatici: livello di conoscenza "almeno buona" (%)";""
"Navigazione in Internet e comunicazione in rete";"87,8"
"Word processor";"67,0"
"Fogli elettronici";"52,7"
"Strumenti di presentazione";"67,5"
"Sistemi operativi";"63,8"
"Linguaggi di programmazione";"9,1"
"Data base";"7,7"
"Realizzazione siti web";"6,0"
"Reti di trasmissione dati";"6,3"
"Disegno e progettazione assistita";"5,1"
"9. PROSPETTIVE DI STUDIO"
"";""
"Intendono proseguire gli studi dopo il conseguimento del titolo (%)";"94,4"
"Altra laurea di primo livello";"1,2"
"Laurea magistrale biennale";"87,5"
"Laurea magistrale a ciclo unico";"2,3"
"Altro titolo equiparato alla laurea";"0,1"
"Dottorato di ricerca";"-"
"Scuola di specializzazione post-laurea";"1,0"
"Master universitario";"1,3"
"Altro tipo di master o corso di perfezionamento";"0,2"
"Tirocinio, praticantato";"0,4"
"Attivita' sostenuta da borsa o assegno di studio";"-"
"Altre attivita' di qualificazione professionale";"0,5"
"Non intendono proseguire";"4,7"
"Motivo principale dell'iscrizione ad un corso di laurea magistrale biennale (per 100 che intendono iscriversi ad una laurea magistrale biennale)";""
"Per completare/arricchire la formazione";"64,2"
"Si tratta di una scelta "quasi obbligata" per poter accedere al mondo del lavoro";"35,2"
"Ateneo a cui intendono iscriversi (per 100 che intendono iscriversi ad una laurea magistrale biennale)";""
"Stesso Ateneo della laurea di primo livello";"45,9"
"Altro Ateneo del Nord";"32,0"
"Altro Ateneo del Centro";"9,3"
"Altro Ateneo del Sud-Isole";"2,5"
"Altro Ateneo italiano telematico";"0,1"
"Ateneo estero";"3,6"
"10. PROSPETTIVE DI LAVORO"
"";""
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";""
"Acquisizione di professionalita'";"77,3"
"Possibilita' di carriera";"70,2"
"Possibilita' di guadagno";"65,1"
"Stabilita'/sicurezza del posto di lavoro";"72,7"
"Rispondenza agli interessi culturali";"36,8"
"Coerenza con gli studi";"56,3"
"Utilita' sociale del lavoro";"48,3"
"Prestigio ricevuto dal lavoro";"34,3"
"Coinvolgimento e partecipazione all’attivita' lavorativa e ai processi decisionali";"43,4"
"Indipendenza o autonomia";"58,9"
"Flessibilita' dell’orario di lavoro";"27,8"
"Rapporti con i colleghi sul luogo di lavoro";"51,5"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"37,9"
"Tempo libero";"32,5"
"Opportunita' di contatti con l'estero";"48,2"
"Possibilita' di utilizzare al meglio le competenze acquisite";"67,3"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";""
"Pubblico";"49,8"
"Privato (compreso l'avvio di un'attivita' autonoma/in conto proprio)";"54,3"
"Disponibilita' a lavorare per tipo di relazione contrattuale: decisamente sì (%)";""
"ORARIO/MODALITA' LAVORATIVA";""
"Tempo pieno";"81,8"
"Part-time";"38,0"
"Telelavoro o smart-working";"33,2"
"CONTRATTO";""
"A tutele crescenti";"85,6"
"A tempo determinato";"32,9"
"Stage";"19,5"
"Apprendistato";"19,6"
"Somministrazione di lavoro (ex interinale)";"13,4"
"Autonomo/in conto proprio";"25,2"
"Disponibilita' a lavorare nelle seguenti aree geografiche: decisamente sì (%)";""
"Provincia di residenza";"61,6"
"Provincia degli studi";"64,4"
"Regione degli studi";"62,1"
"Italia settentrionale";"63,3"
"Italia centrale";"41,8"
"Italia meridionale";"26,0"
"Stato europeo";"56,5"
"Stato extraeuropeo";"39,4"
"Disponibilita' ad effettuare trasferte di lavoro (%)";""
"Sì, anche con trasferimenti di residenza";"49,8"
"Sì, anche frequenti (senza cambi di residenza)";"26,7"
"Sì, ma solo in numero limitato";"19,9"
"Non disponibili a trasferte";"1,3"
