"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"3220"
"Hanno compilato il questionario";"3071"
"Tasso di compilazione";"95,4"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"29,4"
"Donne";"70,6"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"58,8"
"23-24 anni";"29,2"
"25-26 anni";"7,4"
"27 anni e oltre";"4,6"
"Età alla laurea (medie, in anni)";"23,3"
"Cittadini stranieri (%) ";"3,0"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"40,1"
"Altra provincia della stessa regione";"30,2"
"Altra regione";"28,8"
"Estero";"0,9"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"38,1"
"Entrambi con laurea";"15,9"
"Uno solo con laurea";"22,2"
"Nessun genitore laureato";"60,6"
"Diploma di scuola secondaria di secondo grado";"45,8"
"Qualifica professionale, titolo inferiore o nessun titolo";"14,8"
"Classe sociale (%) ";" "
"Classe elevata";"23,7"
"Classe media impiegatizia";"32,2"
"Classe media autonoma";"21,1"
"Classe del lavoro esecutivo";"21,5"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"80,9"
"Liceo classico";"9,7"
"Liceo linguistico";"7,1"
"Liceo scientifico";"59,1"
"Liceo delle scienze umane";"4,3"
"Liceo artistico e musicale e coreutico";"0,6"
"Tecnico";"15,6"
"Tecnico economico";"1,2"
"Tecnico tecnologico";"14,3"
"Professionale";"1,5"
"Titolo estero";"2,0"
"Voto di diploma (medie, in 100-mi) ";"88,7"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"38,2"
"In una provincia limitrofa";"29,2"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"17,6"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"10,1"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"2,2"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,6"
"All'estero";"2,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"13,2"
"Portate a termine";"0,8"
"Non portate a termine";"12,4"
"Nessuna precedente esperienza universitaria";"86,5"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"41,1"
"Fattori prevalentemente culturali";"41,2"
"Fattori prevalentemente professionalizzanti";"5,8"
"Né gli uni né gli altri";"11,9"
"Motivazione principale nella scelta di un corso completamente in teledidattica (per 100 con titolo in Atenei telematici) ";" "
"Possibilità di organizzare meglio il proprio tempo";"-"
"Possibilità di seguire le lezioni online senza la necessità di raggiungere la sede";"-"
"Possibilità di mettersi in contatto con i docenti più facilmente";"-"
"Disponibilità, in qualsiasi momento, del materiale didattico online";"-"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"93,5"
"2 o più anni di ritardo";"6,5"
"Punteggio degli esami (medie, in 30-mi) ";"25,6"
"Voto di laurea (%)";" "
"110 e lode";"16,0"
"da 105 a 110";"20,6"
"da 100 a 104";"22,5"
"meno di 100";"41,0"
"Voto di laurea (medie, in 110-mi) ";"101,3"
"Regolarità negli studi  ";" "
"In corso";"63,5"
"1° anno fuori corso";"19,2"
"2° anno fuori corso";"8,9"
"3° anno fuori corso";"3,8"
"4° anno fuori corso";"2,2"
"5° anno fuori corso e oltre";"2,4"
"Durata degli studi (medie, in anni) ";"3,8"
"Ritardo alla laurea (medie, in anni) ";"0,8"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,27"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%) ";" "
"Più del 50% della durata degli studi";"62,9"
"Meno del 50%";"29,9"
"Hanno frequentato regolarmente (%) ";" "
"Più del 75% degli insegnamenti previsti";"62,8"
"Tra il 50% e il 75%";"23,1"
"Tra il 25% e il 50%";"6,9"
"Meno del 25%";"2,3"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio ";"24,3"
"Hanno svolto periodi di studio all’estero durante il corso di studio (%) ";"6,3"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio";"5,7"
"Con Erasmus o altro programma dell'Unione Europea";"5,2"
"Altra esperienza riconosciuta dal corso di studio";"0,5"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"70,9"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";"30,9"
"Sono soddisfatti del supporto fornito dall'Università per l'esperienza di studio all'estero (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)";" "
"Decisamente sì";"41,1"
"Più sì che no";"41,1"
"Più no che sì";"12,6"
"Decisamente no";"4,0"
