"1. Popolazione analizzata"
"";""
"Numero di laureati";"93"
"Numero di intervistati";"93"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"26,9"
"Donne";"73,1"
"Eta' alla laurea (medie, in anni)";"23,3"
"Voto di laurea (medie, in 110-mi)";"102,9"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"4,0"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,34"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"92,5"
"Sono attualmente iscritti";"92,5"
"Si sono iscritti ad un corso di laurea di primo livello";"2,2"
"Sono attualmente iscritti";"2,2"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"5,4"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"60,0"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"40,0"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"30,2"
"Per migliorare le possibilita' di trovare lavoro";"38,4"
"Perche' è necessaria per trovare lavoro";"24,4"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"7,0"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"72,1"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"24,4"
"Rientra in un settore disciplinare diverso";"3,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"51,2"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,6"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"14,0"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"2,2"
"Tirocinio/praticantato";"2,2"
"Scuola di specializzazione";"1,1"
"Master universitario di primo livello";"-"
"Altro tipo di master";"1,1"
"Stage in azienda";"7,5"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"1,1"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"4,3"
"Lavorano e sono iscritti ad una laurea di secondo livello";"5,4"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"87,1"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"2,2"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"1,1"
"Tasso di occupazione";""
"Uomini";"16,0"
"Donne";"7,4"
"Totale";"9,7"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"9,7"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"79,6"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"10,8"
"Non hanno mai lavorato dopo la laurea";"79,6"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"80,6"
"Non lavorano ma cercano";"9,7"
"Tasso di disoccupazione";"40,0"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"9"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,6"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,8"
"Tempo dalla laurea al reperimento del primo lavoro";"4,3"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"-"
"Professioni tecniche";"33,3"
"Professioni esecutive nel lavoro d'ufficio";"33,3"
"Altre professioni";"33,3"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"11,1"
"Tempo determinato";"22,2"
"Borsa o assegno di studio o di ricerca";"-"
"Contratti formativi";"33,3"
"Altre forme contrattuali";"22,2"
"Senza contratto";"11,1"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"44,4"
"Diffusione del part-time involontario (%)";"11,1"
"Numero di ore settimanali di lavoro (medie)";"27,0"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"22,2"
"Privato";"77,8"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
