"1. Popolazione analizzata"
"";""
"Numero di laureati";"26"
"Numero di intervistati";"26"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"23,1"
"Donne";"76,9"
"Eta' alla laurea (medie, in anni)";"23,5"
"Voto di laurea (medie, in 110-mi)";"105,6"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,23"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"84,6"
"Sono attualmente iscritti";"84,6"
"Si sono iscritti ad un corso di laurea di primo livello";"3,8"
"Sono attualmente iscritti";"3,8"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"11,5"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"33,3"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"33,3"
"Non interessati per altri motivi";"-"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"36,4"
"Per migliorare le possibilita' di trovare lavoro";"18,2"
"Perche' è necessaria per trovare lavoro";"27,3"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"13,6"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"72,7"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"27,3"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"31,8"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,4"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"7,7"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"-"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"3,8"
"Altro tipo di master";"3,8"
"Stage in azienda";"-"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"-"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"7,7"
"Lavorano e sono iscritti ad una laurea di secondo livello";"7,7"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"76,9"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"3,8"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"3,8"
"Tasso di occupazione";""
"Uomini";"16,7"
"Donne";"15,0"
"Totale";"15,4"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"15,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"73,1"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"7,7"
"Non hanno mai lavorato dopo la laurea";"76,9"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"76,9"
"Non lavorano ma cercano";"7,7"
"Tasso di disoccupazione";"20,0"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"4"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,3"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"7,0"
"Tempo dalla laurea al reperimento del primo lavoro";"8,3"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"-"
"Professioni tecniche";"50,0"
"Professioni esecutive nel lavoro d'ufficio";"-"
"Altre professioni";"50,0"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"25,0"
"Tempo indeterminato";"-"
"Tempo determinato";"-"
"Borsa o assegno di studio o di ricerca";"-"
"Contratti formativi";"-"
"Altre forme contrattuali";"50,0"
"Senza contratto";"25,0"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"100,0"
"Diffusione del part-time involontario (%)";"50,0"
"Numero di ore settimanali di lavoro (medie)";"12,3"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"-"
"Privato";"100,0"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"-"
"Altra industria manifatturiera";"-"
"Totale industria";"-"
"Commercio";"50,0"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"25,0"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"-"
"Sanita'";"-"
"Altri servizi";"25,0"
"Totale servizi";"100,0"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"25,0"
"Nord-Est";"-"
"Centro";"-"
"Sud";"-"
"Isole";"50,0"
"Estero";"25,0"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"376"
"Donne";"567"
"Totale";"519"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"519"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"25,0"
"In misura ridotta";"-"
"Per niente";"75,0"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"25,0"
"Poco adeguata";"-"
"Per niente adeguata";"75,0"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"25,0"
"Non richiesta ma necessaria";"-"
"Non richiesta ma utile";"-"
"Non richiesta ne' utile";"75,0"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"25,0"
"Abbastanza efficace";"-"
"Poco/Per nulla efficace";"75,0"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,0"
"Occupati che cercano lavoro (%)";"25,0"
