"1. Popolazione analizzata"
"";""
"Numero di laureati";"71"
"Numero di intervistati";"71"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"26,8"
"Donne";"73,2"
"Eta' alla laurea (medie, in anni)";"22,9"
"Voto di laurea (medie, in 110-mi)";"107,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,23"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"94,4"
"Sono attualmente iscritti";"94,4"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"5,6"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"-"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"25,0"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"25,0"
"Non interessati per altri motivi";"25,0"
"Motivi personali";"25,0"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"31,3"
"Per migliorare le possibilita' di trovare lavoro";"37,3"
"Perche' è necessaria per trovare lavoro";"23,9"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"6,0"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"85,1"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"13,4"
"Rientra in un settore disciplinare diverso";"1,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"67,2"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,2"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"22,5"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"12,7"
"Tirocinio/praticantato";"2,8"
"Scuola di specializzazione";"1,4"
"Master universitario di primo livello";"-"
"Altro tipo di master";"-"
"Stage in azienda";"7,0"
"Corso di formazione professionale";"1,4"
"Attivita' sostenuta da borsa di studio";"2,8"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"-"
"Lavorano e sono iscritti ad una laurea di secondo livello";"5,6"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"88,7"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"2,8"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"2,8"
"Tasso di occupazione";""
"Uomini";"5,3"
"Donne";"5,8"
"Totale";"5,6"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"5,6"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"81,7"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"7,0"
"Non hanno mai lavorato dopo la laurea";"87,3"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"84,5"
"Non lavorano ma cercano";"9,9"
"Tasso di disoccupazione";"55,6"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"4"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,3"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,8"
"Tempo dalla laurea al reperimento del primo lavoro";"5,0"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"25,0"
"Professioni tecniche";"-"
"Professioni esecutive nel lavoro d'ufficio";"25,0"
"Altre professioni";"50,0"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"-"
"Tempo determinato";"50,0"
"Borsa o assegno di studio o di ricerca";"-"
"Contratti formativi";"-"
"Altre forme contrattuali";"25,0"
"Senza contratto";"25,0"
"Diffusione dello smart working (%)";"25,0"
"Diffusione del part-time (%)";"25,0"
"Diffusione del part-time involontario (%)";"-"
"Numero di ore settimanali di lavoro (medie)";"32,0"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"25,0"
"Privato";"75,0"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"25,0"
"Altra industria manifatturiera";"-"
"Totale industria";"25,0"
"Commercio";"25,0"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"-"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"25,0"
"Sanita'";"-"
"Altri servizi";"25,0"
"Totale servizi";"75,0"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"25,0"
"Nord-Est";"-"
"Centro";"25,0"
"Sud";"-"
"Isole";"50,0"
"Estero";"-"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"1626"
"Donne";"984"
"Totale";"1144"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1144"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"25,0"
"In misura ridotta";"25,0"
"Per niente";"50,0"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
