"1. Popolazione analizzata"
"";""
"Numero di laureati";"81"
"Numero di intervistati";"81"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"24,7"
"Donne";"75,3"
"Eta' alla laurea (medie, in anni)";"23,1"
"Voto di laurea (medie, in 110-mi)";"105,9"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,24"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"93,8"
"Sono attualmente iscritti";"93,8"
"Si sono iscritti ad un corso di laurea di primo livello";"2,5"
"Sono attualmente iscritti";"2,5"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"3,7"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"-"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"66,7"
"Non interessati per altri motivi";"33,3"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"42,1"
"Per migliorare le possibilita' di trovare lavoro";"30,3"
"Perche' è necessaria per trovare lavoro";"18,4"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"2,6"
"Per migliorare le condizioni dell'attuale lavoro";"6,6"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"82,9"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"15,8"
"Rientra in un settore disciplinare diverso";"1,3"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"55,3"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,7"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"16,0"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"7,4"
"Tirocinio/praticantato";"2,5"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"-"
"Altro tipo di master";"1,2"
"Stage in azienda";"3,7"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"2,5"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"2,5"
"Lavorano e sono iscritti ad una laurea di secondo livello";"6,2"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"87,7"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"3,7"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"-"
"Donne";"11,5"
"Totale";"8,6"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"8,6"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"82,7"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"17,3"
"Non hanno mai lavorato dopo la laurea";"74,1"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"84,0"
"Non lavorano ma cercano";"7,4"
"Tasso di disoccupazione";"30,0"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"7"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,3"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,6"
"Tempo dalla laurea al reperimento del primo lavoro";"2,9"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"57,1"
"Professioni tecniche";"14,3"
"Professioni esecutive nel lavoro d'ufficio";"-"
"Altre professioni";"28,6"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"14,3"
"Tempo determinato";"42,9"
"Borsa o assegno di studio o di ricerca";"14,3"
"Contratti formativi";"14,3"
"Altre forme contrattuali";"14,3"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"28,6"
"Diffusione del part-time involontario (%)";"14,3"
"Numero di ore settimanali di lavoro (medie)";"33,4"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"28,6"
"Privato";"71,4"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"14,3"
"Altra industria manifatturiera";"-"
"Totale industria";"14,3"
"Commercio";"14,3"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"28,6"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"14,3"
"Sanita'";"28,6"
"Altri servizi";"-"
"Totale servizi";"85,7"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"-"
"Centro";"85,7"
"Sud";"-"
"Isole";"-"
"Estero";"14,3"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"-"
"Donne";"1161"
"Totale";"1161"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1161"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"57,1"
"In misura ridotta";"14,3"
"Per niente";"28,6"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"42,9"
"Poco adeguata";"28,6"
"Per niente adeguata";"28,6"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"57,1"
"Non richiesta ma necessaria";"14,3"
"Non richiesta ma utile";"-"
"Non richiesta ne' utile";"28,6"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"57,1"
"Abbastanza efficace";"14,3"
"Poco/Per nulla efficace";"28,6"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,7"
"Occupati che cercano lavoro (%)";"42,9"
