"1. Popolazione analizzata"
"";""
"Numero di laureati";"29"
"Numero di intervistati";"29"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"41,4"
"Donne";"58,6"
"Eta' alla laurea (medie, in anni)";"22,8"
"Voto di laurea (medie, in 110-mi)";"103,8"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,5"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,16"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"96,6"
"Sono attualmente iscritti";"96,6"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"3,4"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"-"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"100,0"
"Non interessati per altri motivi";"-"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"28,6"
"Per migliorare le possibilita' di trovare lavoro";"32,1"
"Perche' è necessaria per trovare lavoro";"28,6"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"10,7"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"89,3"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"10,7"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"60,7"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,1"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"24,1"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"6,9"
"Tirocinio/praticantato";"3,4"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"6,9"
"Altro tipo di master";"-"
"Stage in azienda";"6,9"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"6,9"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"3,4"
"Lavorano e sono iscritti ad una laurea di secondo livello";"3,4"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"93,1"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"-"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"16,7"
"Donne";"-"
"Totale";"6,9"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"6,9"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"93,1"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"13,8"
"Non hanno mai lavorato dopo la laurea";"79,3"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"93,1"
"Non lavorano ma cercano";"-"
"Tasso di disoccupazione";"-"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"2"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,0"
"Tempo dalla laurea al reperimento del primo lavoro";"2,5"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"50,0"
"Professioni tecniche";"-"
"Professioni esecutive nel lavoro d'ufficio";"-"
"Altre professioni";"50,0"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"-"
"Tempo determinato";"-"
"Borsa o assegno di studio o di ricerca";"50,0"
"Contratti formativi";"-"
"Altre forme contrattuali";"50,0"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"50,0"
"Diffusione del part-time involontario (%)";"-"
"Numero di ore settimanali di lavoro (medie)";"24,5"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"50,0"
"Privato";"50,0"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"-"
"Altra industria manifatturiera";"-"
"Totale industria";"-"
"Commercio";"-"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"-"
"Informatica";"-"
"Altri servizi alle imprese";"50,0"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"50,0"
"Sanita'";"-"
"Altri servizi";"-"
"Totale servizi";"100,0"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"50,0"
"Centro";"-"
"Sud";"-"
"Isole";"-"
"Estero";"50,0"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"876"
"Donne";"-"
"Totale";"876"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"876"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"50,0"
"In misura ridotta";"-"
"Per niente";"50,0"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"50,0"
"Poco adeguata";"-"
"Per niente adeguata";"50,0"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"50,0"
"Non richiesta ma necessaria";"-"
"Non richiesta ma utile";"-"
"Non richiesta ne' utile";"50,0"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"50,0"
"Abbastanza efficace";"-"
"Poco/Per nulla efficace";"50,0"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,0"
"Occupati che cercano lavoro (%)";"-"
