"1. Popolazione analizzata"
"";""
"Numero di laureati";"39"
"Numero di intervistati";"39"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"25,6"
"Donne";"74,4"
"Eta' alla laurea (medie, in anni)";"22,6"
"Voto di laurea (medie, in 110-mi)";"105,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,3"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,10"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"94,9"
"Sono attualmente iscritti";"94,9"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"5,1"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"-"
"Mancanza di un corso nell’area disciplinare di interesse";"50,0"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"50,0"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"40,5"
"Per migliorare le possibilita' di trovare lavoro";"24,3"
"Perche' è necessaria per trovare lavoro";"24,3"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"10,8"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"86,5"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"10,8"
"Rientra in un settore disciplinare diverso";"2,7"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"51,4"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,3"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"12,8"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"5,1"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"-"
"Altro tipo di master";"-"
"Stage in azienda";"2,6"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"5,1"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"-"
"Lavorano e sono iscritti ad una laurea di secondo livello";"-"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"94,9"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"5,1"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Tasso di occupazione";""
"Uomini";"-"
"Donne";"-"
"Totale";"-"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"-"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"94,9"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"10,3"
"Non hanno mai lavorato dopo la laurea";"89,7"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"100,0"
"Non lavorano ma cercano";"-"
"Tasso di disoccupazione";"-"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"0"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"-"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"-"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"-"
"Tempo dalla laurea al reperimento del primo lavoro";"-"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"-"
"Professioni tecniche";"-"
"Professioni esecutive nel lavoro d'ufficio";"-"
"Altre professioni";"-"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"-"
"Tempo determinato";"-"
"Borsa o assegno di studio o di ricerca";"-"
"Contratti formativi";"-"
"Altre forme contrattuali";"-"
"Senza contratto";"-"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"-"
"Diffusione del part-time involontario (%)";"-"
"Numero di ore settimanali di lavoro (medie)";"-"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"-"
"Privato";"-"
"Non profit";"-"
"Ramo di attivita' economica (%)";""
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"-"
"Chimica/Energia";"-"
"Altra industria manifatturiera";"-"
"Totale industria";"-"
"Commercio";"-"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"-"
"Consulenze varie";"-"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"-"
"Sanita'";"-"
"Altri servizi";"-"
"Totale servizi";"-"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"-"
"Centro";"-"
"Sud";"-"
"Isole";"-"
"Estero";"-"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"-"
"Donne";"-"
"Totale";"-"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"-"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"-"
"In misura ridotta";"-"
"Per niente";"-"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"-"
"Poco adeguata";"-"
"Per niente adeguata";"-"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"-"
"Non richiesta ma necessaria";"-"
"Non richiesta ma utile";"-"
"Non richiesta ne' utile";"-"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
