"1. Popolazione analizzata"
"";""
"Numero di laureati";"75"
"Numero di intervistati";"75"
"Tasso di risposta sul totale dei laureati";"100,0"
"Tasso di risposta sui laureati contattabili";"100,0"
"Genere (%)";""
"Uomini";"38,7"
"Donne";"61,3"
"Eta' alla laurea (medie, in anni)";"22,7"
"Voto di laurea (medie, in 110-mi)";"103,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"3,3"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"-"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,11"
"Indice di ritardo (sui laureati in atenei telematici)";"-"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";""
"Si sono iscritti ad un corso di laurea di secondo livello";"89,3"
"Sono attualmente iscritti";"85,3"
"Si sono iscritti ad un corso di laurea di primo livello";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"10,7"
"Motivi della non iscrizione ad un altro corso di laurea (%)";""
"Motivi lavorativi";"50,0"
"Mancanza di un corso nell’area disciplinare di interesse";"12,5"
"Motivi economici";"-"
"Non interessati perche' intenzionati a frequentare altra formazione post-laurea";"25,0"
"Non interessati per altri motivi";"12,5"
"Motivi personali";"-"
"Altro motivo";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%)";""
"Per migliorare la propria formazione culturale";"26,9"
"Per migliorare le possibilita' di trovare lavoro";"37,3"
"Perche' è necessaria per trovare lavoro";"25,4"
"Perche' hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"10,4"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";""
"Rappresenta il proseguimento 'naturale'";"85,1"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"13,4"
"Rientra in un settore disciplinare diverso";"1,5"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"60,9"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,5"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"14,7"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";""
"Collaborazione volontaria";"1,3"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"2,7"
"Altro tipo di master";"1,3"
"Stage in azienda";"8,0"
"Corso di formazione professionale";"-"
"Attivita' sostenuta da borsa di studio";"2,7"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%)";""
"Lavorano e non sono iscritti ad una laurea di secondo livello";"9,3"
"Lavorano e sono iscritti ad una laurea di secondo livello";"16,0"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"69,3"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"4,0"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"1,3"
"Tasso di occupazione";""
"Uomini";"31,0"
"Donne";"21,7"
"Totale";"25,3"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"25,3"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"66,7"
"Esperienze di lavoro post-laurea (%)";""
"Non lavorano ma hanno lavorato dopo la laurea";"12,0"
"Non hanno mai lavorato dopo la laurea";"62,7"
"Ricerca del lavoro (%)";""
"Non lavorano e non cercano";"70,7"
"Non lavorano ma cercano";"4,0"
"Tasso di disoccupazione";"17,4"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"19"
"Occupati: condizione occupazionale alla laurea (%)";""
"Proseguono il lavoro iniziato prima della laurea";"-"
"Non proseguono il lavoro iniziato prima della laurea";"-"
"Hanno iniziato a lavorare dopo la laurea";"100,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,1"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,0"
"Tempo dalla laurea al reperimento del primo lavoro";"3,1"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%)";""
"Imprenditori e alta dirigenza";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"21,1"
"Professioni tecniche";"36,8"
"Professioni esecutive nel lavoro d'ufficio";"10,5"
"Altre professioni";"31,6"
"Tipologia dell'attivita' lavorativa (%)";""
"Attivita' in proprio";"-"
"Tempo indeterminato";"15,8"
"Tempo determinato";"21,1"
"Borsa o assegno di studio o di ricerca";"5,3"
"Contratti formativi";"21,1"
"Altre forme contrattuali";"31,6"
"Senza contratto";"5,3"
"Diffusione dello smart working (%)";"-"
"Diffusione del part-time (%)";"57,9"
"Diffusione del part-time involontario (%)";"26,3"
"Numero di ore settimanali di lavoro (medie)";"24,6"
"6. Caratteristiche dell'impresa"
"";""
"Settore di attivita' (%)";""
"Pubblico";"21,1"
"Privato";"68,4"
"Non profit";"10,5"
"Ramo di attivita' economica (%)";""
"Agricoltura";"5,3"
"Metalmeccanica e meccanica di precisione";"-"
"Edilizia";"5,3"
"Chimica/Energia";"10,5"
"Altra industria manifatturiera";"5,3"
"Totale industria";"21,1"
"Commercio";"31,6"
"Credito, assicurazioni";"-"
"Trasporti, pubblicita', comunicazioni";"5,3"
"Consulenze varie";"-"
"Informatica";"-"
"Altri servizi alle imprese";"-"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca";"15,8"
"Sanita'";"-"
"Altri servizi";"21,1"
"Totale servizi";"73,7"
"Ripartizione geografica di lavoro (%)";""
"Nord-Ovest";"-"
"Nord-Est";"84,2"
"Centro";"-"
"Sud";"5,3"
"Isole";"-"
"Estero";"10,5"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro)";""
"Uomini";"1181"
"Donne";"765"
"Totale";"962"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"962"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"-"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";""
"Dal punto di vista economico";"-"
"Nella posizione lavorativa";"-"
"Nelle mansioni svolte";"-"
"Nelle competenze professionali";"-"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";""
"In misura elevata";"10,5"
"In misura ridotta";"42,1"
"Per niente";"47,4"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";""
"Molto adeguata";"26,3"
"Poco adeguata";"42,1"
"Per niente adeguata";"31,6"
"Richiesta della laurea per l'attivita' lavorativa (%)";""
"Richiesta per legge";"26,3"
"Non richiesta ma necessaria";"5,3"
"Non richiesta ma utile";"31,6"
"Non richiesta ne' utile";"36,8"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%)";""
"Molto efficace/Efficace";"22,2"
"Abbastanza efficace";"33,3"
"Poco/Per nulla efficace";"44,4"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6"
"Occupati che cercano lavoro (%)";"-"
