"Ateneo","Nome Corso","Classe","ID Indicatore","Anno accademico","Numeratore"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC14","2020","19.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC14","2021","13.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC14","2022","12.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC14","2023","12.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC14","2024","14.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC21","2020","70.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC21","2021","78.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC21","2022","64.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC21","2023","42.000"
"Università di Bari","0720106200200002 - Biotecnologie Industriali per lo Sviluppo Sostenibile","L-2 - Biotecnologie","iC21","2024","38.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC14","2020","29.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC14","2021","35.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC14","2022","34.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC14","2023","47.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC14","2024","55.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC21","2020","93.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC21","2021","92.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC21","2022","87.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC21","2023","93.000"
"Università di Bari","0720106200200003 - Biotecnologie Mediche e Farmaceutiche","L-2 - Biotecnologie","iC21","2024","70.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","40.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","24.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","33.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","37.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","42.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","57.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","54.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","73.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","76.000"
"Università della Basilicata","0760106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","54.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","71.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","57.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","60.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","53.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","65.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","91.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","73.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","82.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","77.000"
"Università di Bologna","0370106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","67.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC14","2020","37.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC14","2021","43.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC14","2022","37.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC14","2023","36.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC14","2024","26.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC21","2020","41.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC21","2021","46.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC21","2022","40.000"
"Università di Bologna","0370106200200002 - Genomica","L-2 - Biotecnologie","iC21","2023","38.000"
